fighter_name,date,opponent,method,method_points,strike_bonus,round_bonus,total_points
Tony Ferguson,2015-02-28,Gleison Tibau,Submission,90,9,0,99
Tony Ferguson,2023-07-29,Bobby Green,Submission,0,0,0,0
Tony Ferguson,2020-05-09,Justin Gaethje,KO/TKO,0,0,25,25
Tony Ferguson,2021-05-15,Beneil Dariush,Decision - Unanimous,0,0,0,0
Tony Ferguson,2011-06-04,Ramsey Nijem,KO/TKO,100,9,0,109
Tony Ferguson,2015-12-11,Edson Barboza,Submission,90,20,0,110
Tony Ferguson,2015-07-15,Josh Thomson,Decision - Unanimous,80,50,0,130
Tony Ferguson,2020-12-12,Charles Oliveira,Decision - Unanimous,0,0,0,0
Tony Ferguson,2014-08-30,Danny Castillo,Decision - Split,70,0,0,70
Tony Ferguson,2023-12-16,Paddy Pimblett,Decision - Unanimous,0,0,0,0
Tony Ferguson,2022-05-07,Michael Chandler,KO/TKO,0,0,0,0
Tony Ferguson,2016-11-05,Rafael Dos Anjos,Decision - Unanimous,80,78,25,183
Tony Ferguson,2018-10-06,Anthony Pettis,KO/TKO,100,69,0,169
Tony Ferguson,2016-07-13,Lando Vannata,Submission,90,26,0,116
Tony Ferguson,2022-09-10,Nate Diaz,Submission,0,0,25,25
Tony Ferguson,2014-12-06,Abel Trujillo,Submission,90,5,0,95
Tony Ferguson,2013-10-19,Mike Rio,Submission,90,1,0,91
Tony Ferguson,2011-09-24,Aaron Riley,TKO - Doctor's Stoppage,0,20,0,20
Tony Ferguson,2011-12-03,Yves Edwards,Decision - Unanimous,80,16,0,96
Tony Ferguson,2019-06-08,Donald Cerrone,TKO - Doctor's Stoppage,0,36,0,36
Tony Ferguson,2024-08-03,Michael Chiesa,Submission,0,6,0,6
Tony Ferguson,2012-05-05,Michael Johnson,Decision - Unanimous,0,0,0,0
Tony Ferguson,2017-10-07,Kevin Lee,Submission,90,0,25,115
Tony Ferguson,2014-05-24,Katsunori Kikuno,KO/TKO,100,16,0,116
Gleison Tibau,2015-02-28,Tony Ferguson,Submission,0,0,0,0
Gleison Tibau,2007-06-12,Jeff Cox,Submission,90,3,0,93
Gleison Tibau,2013-05-18,John Cholish,Submission,90,12,0,102
Gleison Tibau,2011-03-19,Kurt Pellegrino,Decision - Split,70,0,0,70
Gleison Tibau,2012-07-07,Khabib Nurmagomedov,Decision - Unanimous,0,3,0,3
Gleison Tibau,2008-02-02,Tyson Griffin,Decision - Unanimous,0,0,0,0
Gleison Tibau,2009-02-07,Rich Clementi,Submission,90,6,0,96
Gleison Tibau,2018-01-20,Islam Makhachev,KO/TKO,0,0,0,0
Gleison Tibau,2013-12-28,Michael Johnson,KO/TKO,0,0,0,0
Gleison Tibau,2006-11-18,Nick Diaz,KO/TKO,0,0,0,0
Gleison Tibau,2014-07-16,Pat Healy,Decision - Unanimous,80,0,0,80
Gleison Tibau,2009-06-20,Melvin Guillard,Decision - Split,0,1,0,1
Gleison Tibau,2011-11-19,Rafael Dos Anjos,Decision - Split,70,31,0,101
Gleison Tibau,2009-04-01,Jeremy Stephens,Decision - Unanimous,80,0,0,80
Gleison Tibau,2007-09-08,Terry Etim,Decision - Unanimous,80,0,0,80
Gleison Tibau,2009-10-24,Josh Neer,Decision - Unanimous,80,0,0,80
Gleison Tibau,2007-03-03,Jason Dent,Decision - Unanimous,80,24,0,104
Gleison Tibau,2013-08-31,Jamie Varner,Decision - Split,70,0,0,70
Gleison Tibau,2011-05-28,Rafaello Oliveira,Submission,90,7,0,97
Gleison Tibau,2008-07-05,Joe Stevenson,Submission,0,0,0,0
Gleison Tibau,2015-11-07,Abel Trujillo,DQ,0,3,0,3
Gleison Tibau,2010-03-31,Caol Uno,KO/TKO,100,16,0,116
Gleison Tibau,2012-10-13,Francisco Trinaldo,Decision - Unanimous,80,0,0,80
Gleison Tibau,2015-01-18,Norman Parke,Decision - Split,70,0,0,70
Gleison Tibau,2014-09-13,Piotr Hallmann,Decision - Split,70,0,0,70
Gleison Tibau,2013-02-02,Evan Dunham,Decision - Split,0,0,0,0
Gleison Tibau,2018-06-01,Desmond Green,Decision - Unanimous,0,0,0,0
Gleison Tibau,2010-09-15,Jim Miller,Decision - Unanimous,0,0,0,0
