player_name,value,playoff_value,total_value,passes_bought
Shohei Ohtani,1066,274,1340,28830
Aaron Judge,1061,226,1287,21984
Bobby Witt Jr.,892,58,950,14560
Juan Soto,880,325,1205,20159
Emmanuel Clase,868,107,975,3690
José Ramírez,842,144,986,9771
Vladimir Guerrero Jr.,840,0,840,6922
Ryan Helsley,795,0,795,1112
Gunnar Henderson,794,0,794,12543
Kyle Schwarber,788,43,831,4269
Marcell Ozuna,778,14,792,11136
Raisel Iglesias,767,0,767,232
Jarren Duran,751,0,751,5478
Brent Rooker,750,0,750,1079
Tarik Skubal,750,214,964,5599
Willy Adames,750,13,763,1428
Yordan Alvarez,744,16,760,10255
Francisco Lindor,743,262,1005,5006
Zack Wheeler,734,93,827,7500
Logan Gilbert,732,0,732,2778
Elly De La Cruz,724,0,724,9678
Manny Machado,724,76,800,2313
Anthony Santander,717,0,717,1987
Ketel Marte,711,0,711,4754
Chris Sale,706,0,706,2466
Bryce Harper,696,89,785,12583
Josh Naylor,695,104,799,1613
Teoscar Hernández,692,268,960,5066
Freddie Freeman,691,290,981,10859
Dylan Cease,685,0,685,2732
William Contreras,685,25,710,5134
Bryan Reynolds,683,0,683,1369
Matt Olson,675,0,675,6655
Jackson Merrill,674,128,802,632
Eugenio Suárez,673,0,673,349
Corbin Carroll,668,0,668,5168
Rafael Devers,667,0,667,4741
Ezequiel Tovar,664,0,664,407
Salvador Perez,664,34,698,2317
Pete Alonso,659,293,952,4075
Jurickson Profar,651,33,684,1966
Matt Chapman,648,0,648,744
Seth Lugo,646,68,714,1558
Josh Hader,645,5,650,360
Cole Ragans,642,120,762,1871
Nick Castellanos,641,98,739,1996
Kyle Finnegan,635,0,635,259
Kirby Yates,634,0,634,344
Ian Happ,631,0,631,1307
Griffin Jax,628,0,628,102
Jose Altuve,627,7,634,4492
Ryan Walker,627,0,627,75
Corbin Burnes,620,85,705,6492
Zach Neto,620,0,620,142
Bailey Ober,617,0,617,353
Cal Raleigh,616,0,616,539
Jackson Chourio,615,103,718,772
Spencer Steer,612,0,612,2565
Robert Suarez,611,76,687,297
Tanner Scott,611,75,686,76
Alex Bregman,607,13,620,1818
Clay Holmes,607,151,758,1143
Bryce Miller,606,0,606,616
Logan Webb,605,0,605,2384
Sean Manaea,603,160,763,294
Yainer Diaz,603,17,620,421
Oneil Cruz,602,0,602,1767
Framber Valdez,599,19,618,1148
Riley Greene,599,46,645,818
Jazz Chisholm Jr.,598,126,724,3043
Seiya Suzuki,595,0,595,1740
Alec Bohm,593,2,595,6273
Brandon Nimmo,589,154,743,1441
Bryan Abreu,588,20,608,68
Shota Imanaga,588,0,588,4694
Brenton Doyle,587,0,587,183
Garrett Crochet,587,0,587,1968
Vinnie Pasquantino,586,44,630,493
Taylor Ward,585,0,585,355
Masyn Winn,583,0,583,450
Corey Seager,582,0,582,7763
Julio Rodríguez,579,0,579,6501
JJ Bleday,578,0,578,115
Christian Walker,576,0,576,1796
Mason Miller,576,0,576,1082
Yusei Kikuchi,576,0,576,448
Marcus Semien,575,0,575,5312
Michael King,575,134,709,950
Jason Foley,573,0,573,121
Aaron Nola,570,30,600,3286
Brendan Donovan,569,0,569,218
Hunter Brown,569,65,634,196
Isaac Paredes,567,0,567,560
George Kirby,566,0,566,1409
Paul Goldschmidt,566,0,566,1022
Cody Bellinger,565,0,565,2941
Wyatt Langford,561,0,561,785
Brandon Pfaadt,560,0,560,241
CJ Abrams,560,0,560,1563
Max Fried,560,0,560,2350
Cristopher Sánchez,557,36,593,826
Tyler Holton,556,77,633,41
Jason Adam,555,74,629,30
Adolis García,554,0,554,6940
Trea Turner,554,41,595,4850
Jake Cronenworth,553,30,583,952
Jack Flaherty,551,140,691,860
Michael Busch,550,0,550,833
Jake Burger,549,0,549,580
Luis Arraez,548,28,576,1749
Pablo López,547,0,547,1796
Paul Skenes,547,0,547,9229
Jeff Hoffman,546,4,550,190
Alec Burleson,545,0,545,338
Kenley Jansen,544,0,544,199
Carlos Santana,543,0,543,242
Jeremy Peña,542,8,550,469
Jorge Soler,542,31,573,708
Gleyber Torres,541,220,761,755
Mookie Betts,541,398,939,22759
Sonny Gray,541,0,541,757
Dansby Swanson,540,0,540,1277
Aroldis Chapman,539,0,539,177
Adley Rutschman,538,0,538,6949
Andrew Vaughn,538,0,538,107
Anthony Volpe,538,230,768,2219
Hunter Greene,538,0,538,585
Jonathan India,536,0,536,420
Nolan Arenado,536,0,536,1104
Kevin Gausman,533,0,533,1402
Willi Castro,532,0,532,249
David Robertson,531,0,531,74
Nathaniel Lowe,531,0,531,337
Yandy Díaz,531,0,531,1223
Josh Bell,530,0,530,227
Colton Cowser,529,2,531,695
Heliot Ramos,529,0,529,437
Tanner Houck,529,0,529,1271
Ronel Blanco,526,26,552,1672
Josh Smith,525,0,525,271
Nico Hoerner,525,0,525,899
Joe Jiménez,524,12,536,55
Cade Smith,523,155,678,67
Hunter Gaddis,523,77,600,46
Luis García Jr.,523,0,523,201
Lucas Erceg,522,88,610,48
José Berríos,521,0,521,778
Camilo Doval,520,0,520,253
George Springer,518,0,518,640
Randy Arozarena,517,0,517,2081
Tyler O'Neill,517,0,517,1096
Nick Martinez,516,0,516,52
Shea Langeliers,516,0,516,290
Carlos Rodón,515,142,657,690
Ryan McMahon,514,0,514,676
Tyler Rogers,514,0,514,40
Andrés Muñoz,513,0,513,206
Kutter Crawford,513,0,513,519
Tyler Stephenson,513,0,513,209
Bryan De La Cruz,511,0,511,354
Nathan Eovaldi,510,0,510,1934
Tanner Bibee,509,103,612,304
Brady Singer,508,7,515,324
Mark Vientos,508,347,855,501
Andrew Kittredge,506,0,506,31
Freddy Peralta,505,57,562,1492
Jesús Sánchez,505,0,505,116
Luis Castillo,505,0,505,1406
Joc Pederson,504,0,504,231
Lourdes Gurriel Jr.,502,0,502,2680
Luis Gil,502,26,528,1955
Ceddanne Rafaela,501,0,501,663
Brice Turang,500,62,562,333
Tyler Glasnow,500,0,500,9015
Héctor Neris,499,11,510,86
MacKenzie Gore,497,0,497,192
Matt Vierling,497,53,550,258
Reynaldo López,497,0,497,390
Nolan Schanuel,494,0,494,64
Erick Fedde,492,0,492,132
Alex Vesia,490,103,593,75
Lawrence Butler,489,0,489,470
Colt Keith,488,38,526,260
Luis Severino,488,112,600,373
Phil Maton,488,19,507,15
Rhys Hoskins,488,4,492,661
Carlos Estévez,487,26,513,65
Jake Irvin,486,0,486,165
Michael Wacha,484,33,517,200
Andrés Giménez,483,76,559,311
Brendan Rodgers,483,0,483,52
Jesse Winker,481,145,626,274
Nestor Cortes,481,24,505,1477
Andrew Benintendi,480,0,480,130
Andrew Heaney,476,0,476,85
Steven Kwan,476,159,635,1271
Ryan O'Hearn,474,8,482,267
Evan Phillips,473,96,569,287
Michael Conforto,473,0,473,561
Giancarlo Stanton,472,379,851,1511
Luke Weaver,472,247,719,144
Zack Littell,472,0,472,56
Craig Kimbrel,471,0,471,358
Jhoan Duran,471,0,471,256
Chris Bassitt,469,0,469,220
Lane Thomas,469,191,660,492
Cedric Mullins,468,46,514,620
Kevin Ginkel,468,0,468,56
Zach Eflin,468,31,499,279
Maikel Garcia,467,73,540,448
Mike Yastrzemski,467,0,467,148
Zac Gallen,467,0,467,1911
Luke Raley,466,0,466,130
Mitch Keller,466,0,466,360
Wilyer Abreu,466,0,466,344
Jake McCarthy,465,0,465,117
Derek Law,464,0,464,11
Kyle Gibson,464,0,464,99
Luis L. Ortiz,463,0,463,43
Bryson Stott,462,52,514,1466
Alexis Díaz,461,0,461,143
Charlie Morton,461,0,461,310
Spencer Arrighetti,461,0,461,128
Tyler Kinley,461,0,461,7
J.D. Martinez,460,54,514,479
Jose Quintana,460,123,583,187
Trevor Megill,460,39,499,44
Alex Verdugo,459,161,620,910
Jameson Taillon,458,0,458,194
Ryan Mountcastle,457,0,457,966
Daulton Varsho,454,0,454,387
Fernando Cruz,454,0,454,85
JP Sears,454,0,454,53
Joe Ryan,454,0,454,688
Brandon Marsh,453,0,453,901
Edwin Díaz,453,134,587,554
Joel Payamps,453,10,463,25
Michael Kopech,451,94,545,144
Austin Riley,450,0,450,3746
Joey Ortiz,449,0,449,192
Justin Steele,449,0,449,1181
