name,wins,losses,ufc_loses,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses
Tom Aaron,5,3
Danny Abbadi,4,6
Nariman Abbasov,28,4
David Abbott,10,15
Hamdy Abdelwahab,5,0
Shamil Abdurakhimov,20,8
Hiroyuki Abe,8,15
Daichi Abe,6,2
Papy Abedi,10,4
Ricardo Abreu,5,1
Klidson Abreu,15,4
Cyborg Abreu,0,0
Daniel Acacio,30,18
John Adajar,6,2
Scott Adams,8,1
Juan Adams,5,3
Anthony Adams,8,2
Zarrukh Adashev,4,4
Israel Adesanya,24,3
Sam Adkins,7,20
Nick Agallar,24,6
Mariya Agapova,10,4
Marcelo Aguiar,2,3
Fabio Aguiar,17,1
Edwin Aguilar,26,19
Jessica Aguilar,20,8
Kevin Aguilar,17,5
Jesus Aguilar,10,2
Christian Aguilera,14,8
Nick Aguirre,7,2
Mike Aina,14,6
Ashiek Ajim,6,2
Hitomi Akano,18,10
Omari Akhmedov,21,6
Yoshihiro Akiyama,14,6
Rostem Akman,6,2
Razak Al-Hassan,13,5
Abdul-Kareem Al-Selwady,15,4
Mostapha Al-Turk,6,6
Herdem Alacabek,5,1
Javi Alanis,0,4
Alatengheili,16,9
Amir Albazi,17,1
Brett Albee,3,2
John Albert,6,5
Junior Albini,14,6
Wes Albritton,0,1
Aleksandra Albu,3,2
Israel Albuquerque,0,3
Juan Alcain,1,2
Iuri Alcantara,35,10
Ildemar Alcantara,21,11
Alfonso Alcarez,1,3
Gilbert Aldana,6,2
Irene Aldana,15,7
Hector Aldana,4,3
Jose Alday,14,6
Jose Aldo,31,8
JJ Aldrich,13,6
Irina Alekseeva,5,2
Talita Alencar,5,0
Jim Alers,13,3
John Alessio,35,17
Houston Alexander,17,15
Kenneth Alexander,7,6
Lucas Alexander,8,4
Marcio Alexandre Junior,17,4
Olaf Alfonso,8,12
Pablo Alfonso,9,7
Levi Alford,1,7
Bill Algeo,18,7
Royce Alger,3,2
Amir Aliakbari,10,1
Sultan Aliev,15,3
Nurullo Aliev,9,0
Ikram Aliskerov,15,1
Leon Aliu,10,2
John Allan,13,7
George Allen,13,19
Arnold Allen,19,3
Brendan Allen,23,5
Daniel Allen,5,0
Ben Alloway,18,8
Asu Almabayev,18,2
