name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus,Value
Alistair Overeem,1900,630,320,75,0,617,250,3792
Anderson Silva,1900,270,640,0,0,600,375,3785
Max Holloway,1000,180,640,0,70,1322,400,3612
Georges St-Pierre,800,540,800,0,140,892,375,3547
Gegard Mousasi,1500,630,480,0,0,670,150,3430
Donald Cerrone,1000,900,720,0,0,443,300,3363
Mauricio Rua,2100,90,240,0,140,539,225,3334
Michael Bisping,1200,90,640,0,140,698,350,3118
Jon Jones,600,540,720,0,70,742,400,3072
Dan Henderson,1600,90,400,0,350,274,275,2989
Andrei Arlovski,1100,180,720,0,210,483,225,2918
Wanderlei Silva,1700,90,320,0,140,469,100,2819
Lyoto Machida,900,180,720,0,210,505,300,2815
Dustin Poirier,1100,360,480,75,0,437,350,2802
Nick Diaz,1000,540,160,0,70,781,225,2776
Mirko Filipovic,1900,270,240,0,0,340,25,2775
Jose Aldo,1100,0,880,0,0,363,400,2743
Jim Miller,600,1170,480,0,140,292,50,2732
Fabricio Werdum,600,990,480,0,0,426,175,2671
Rafael Dos Anjos,400,450,880,0,70,485,350,2635
Nate Diaz,400,1080,240,0,70,605,200,2595
Rich Franklin,1100,450,320,0,0,534,175,2579
Neil Magny,600,180,800,0,280,606,100,2566
Vitor Belfort,1500,270,320,0,0,204,225,2519
Urijah Faber,300,1080,400,0,0,348,375,2503
Quinton Jackson,1200,0,400,0,280,511,100,2491
Kazushi Sakuraba,300,1710,240,0,0,230,0,2480
Charles Oliveira,400,1440,240,0,0,198,175,2453
Demetrious Johnson,200,540,640,0,70,650,350,2450
Daniel Cormier,800,360,480,0,70,468,250,2428
Robbie Lawler,1400,0,320,0,210,175,300,2405
Derrick Lewis,1500,0,160,0,140,301,300,2401
Fedor Emelianenko,700,810,400,0,0,427,50,2387
Frankie Edgar,400,180,800,0,70,586,350,2386
Joseph Benavidez,600,360,800,0,70,423,125,2378
Antonio Rodrigo Nogueira,300,1170,560,0,0,201,100,2331
Amanda Nunes,800,270,400,0,70,488,300,2328
Cub Swanson,700,180,800,0,70,453,100,2303
Gilbert Melendez,700,0,560,0,140,587,300,2287
Shinya Aoki,100,1440,480,0,70,124,50,2264
Jessica Andrade,600,270,480,0,140,612,150,2252
Junior Dos Santos,1000,0,400,0,0,534,300,2234
Demian Maia,100,990,640,75,70,179,175,2229
Josh Barnett,700,900,80,0,70,348,100,2198
Diego Sanchez,600,180,800,0,210,373,25,2188
Glover Teixeira,700,720,160,0,70,267,250,2167
Randy Couture,600,360,320,75,0,454,350,2159
Ovince Saint Preux,800,450,320,75,140,246,125,2156
Robert Whittaker,600,0,800,0,70,458,225,2153
Sean Strickland,400,90,560,0,280,607,200,2137
King Green,300,180,640,0,70,880,50,2120
BJ Penn,600,540,240,0,0,420,300,2100
Kamaru Usman,400,90,800,0,0,555,250,2095
Matt Hughes,600,450,400,0,0,343,300,2093
Jacare Souza,500,900,320,0,0,182,175,2077
Jorge Masvidal,600,90,640,0,70,493,175,2068
Alexander Volkanovski,500,0,560,0,70,709,225,2064
Matt Brown,1300,180,160,0,0,362,50,2052
Benson Henderson,100,450,480,0,280,389,350,2049
Chuck Liddell,1100,0,480,0,0,287,175,2042
Cain Velasquez,1200,0,160,0,0,486,175,2021
Aljamain Sterling,200,360,560,0,140,630,125,2015
Joanna Jedrzejczyk,200,0,560,0,70,894,275,1999
Edson Barboza,900,0,560,75,70,267,125,1997
Tatsuya Kawajiri,400,540,800,0,0,219,25,1984
Rogerio Nogueira,800,360,320,0,210,266,25,1981
Stipe Miocic,900,0,400,0,0,327,325,1952
Clay Guida,200,450,720,0,280,227,75,1952
Cristiane Justino,900,0,240,0,0,568,200,1908
Thiago Santos,1100,0,240,0,0,376,175,1891
TJ Dillashaw,700,90,320,0,70,472,225,1877
Darren Elkins,400,270,800,0,140,259,0,1869
Valentina Shevchenko,400,180,400,0,140,407,325,1852
Tito Ortiz,700,180,240,0,140,324,225,1809
Carlos Condit,500,360,240,0,70,383,250,1803
Igor Vovchanchyn,800,180,480,0,0,337,0,1797
Mark Coleman,700,450,320,0,0,322,0,1792
Israel Adesanya,500,0,560,0,70,332,325,1787
Takanori Gomi,900,270,240,0,140,236,0,1786
Alexander Volkov,600,90,320,0,70,527,175,1782
Tim Means,600,180,480,0,70,444,0,1774
Alex Caceres,100,360,560,0,210,516,25,1771
Tyron Woodley,600,270,240,75,210,174,200,1769
Josh Thomson,400,450,400,75,0,311,125,1761
Michael Johnson,600,0,640,0,70,390,50,1750
Ryan Bader,500,90,640,0,70,346,100,1746
Anthony Pettis,400,630,320,0,70,150,175,1745
Luke Rockhold,500,540,160,0,0,259,275,1734
Francisco Trinaldo,400,180,720,0,140,292,0,1732
Rashad Evans,700,0,400,75,280,143,125,1723
Dominick Cruz,100,0,720,0,210,416,275,1721
Kevin Holland,500,450,160,0,140,367,100,1717
Stephen Thompson,600,0,480,0,0,420,200,1700
Derek Brunson,700,180,480,0,0,205,125,1690
Islam Makhachev,300,630,400,0,0,204,150,1684
Frank Mir,500,720,160,0,0,104,200,1684
Jake Shields,100,540,400,75,210,209,150,1684
Nate Marquardt,700,270,320,0,0,293,100,1683
Mark Hunt,1000,0,80,0,140,282,150,1652
Beneil Dariush,300,450,480,0,140,255,25,1650
Rob Font,600,90,320,0,0,532,100,1642
Khabib Nurmagomedov,200,450,480,0,0,410,100,1640
Belal Muhammad,200,90,880,0,70,320,75,1635
Sean O'Malley,700,0,240,0,70,543,75,1628
Marlon Vera,700,360,320,0,0,146,100,1626
Thiago Alves,700,90,400,0,70,316,50,1626
Jeremy Stephens,700,0,480,0,70,295,75,1620
Tony Ferguson,300,540,240,0,70,361,100,1611
Ben Rothwell,900,270,160,0,140,116,25,1611
Gilbert Burns,300,450,560,0,0,195,100,1605
Curtis Blaydes,700,0,400,0,0,298,200,1598
Rani Yahya,0,990,400,0,70,107,25,1592
Ciryl Gane,400,180,240,0,70,518,175,1583
Jon Fitch,100,270,720,0,140,326,25,1581
Ikuhisa Minowa,300,990,160,0,70,61,0,1581
Yves Edwards,600,270,320,0,70,288,25,1573
Vicente Luque,700,540,80,0,70,129,50,1569
Raphael Assuncao,200,90,640,0,280,323,25,1558
Jan Blachowicz,500,180,320,0,70,310,175,1555
Colby Covington,300,180,560,0,0,314,200,1554
Dan Hooker,700,180,160,0,210,254,50,1554
Anthony Johnson,1100,0,160,0,0,193,100,1553
Ricardo Lamas,500,270,560,0,0,168,50,1548
Leon Edwards,300,90,640,75,70,195,175,1545
Gary Goodridge,1200,90,0,0,70,183,0,1543
Johny Hendricks,600,0,480,75,140,146,100,1541
Heath Herring,500,450,160,0,140,287,0,1537
Brad Tavares,200,0,800,0,210,290,25,1525
Josh Koscheck,600,270,400,0,70,146,25,1511
Chris Leben,800,270,160,0,70,148,50,1498
Anthony Smith,500,540,80,0,70,108,175,1473
Kelvin Gastelum,300,180,400,0,210,222,150,1462
Jack Hermansson,300,270,400,0,0,364,125,1459
Chad Mendes,600,90,480,0,0,162,125,1457
Rick Story,200,180,400,0,210,440,25,1455
Nik Lentz,300,180,560,0,140,271,0,1451
Raquel Pennington,0,270,560,0,210,322,75,1437
Chris Weidman,400,270,400,0,0,161,200,1431
Hayato Sakurai,600,90,480,0,0,232,25,1427
Forrest Griffin,200,270,480,0,70,349,50,1419
Yushin Okami,400,0,640,0,140,188,50,1418
John Lineker,600,90,320,0,70,284,50,1414
Miesha Tate,100,450,480,75,0,158,150,1413
Petr Yan,400,0,480,0,0,383,150,1413
Drew Dober,900,90,240,0,0,181,0,1411
Angela Hill,100,90,720,0,0,437,50,1397
Gleison Tibau,100,360,480,0,350,106,0,1396
Merab Dvalishvili,100,0,800,0,0,438,50,1388
Deiveson Figueiredo,400,360,320,0,70,61,175,1386
Alexandre Pantoja,200,450,320,0,140,171,100,1381
Randy Brown,300,270,480,0,70,260,0,1380
Yoshihiro Akiyama,500,630,80,0,70,97,0,1377
