name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus
Tony Ferguson,350,615,340,0,70,361,100
Gleison Tibau,175,410,580,0,400,106,0
Tim Boetsch,800,125,315,0,140,198,25
CB Dollaway,325,230,425,0,95,138,25
Daria Zhelezniakova,0,25,160,0,0,67,0
Melissa Mullins,125,0,105,0,0,30,0
Jailton Almeida,325,450,80,0,25,138,50
Shamil Abdurakhimov,350,0,160,0,70,59,25
Kimo Leopoldo,125,165,25,0,0,9,0
David Abbott,600,330,130,0,0,72,0
Sean Strickland,450,90,635,0,330,607,225
Krzysztof Jotko,150,50,585,0,235,243,0
Tim Sylvia,500,100,345,0,0,292,250
Wesley Correira,175,0,0,0,0,18,0
Rodrigo Gracie,0,90,265,0,0,63,0
Daiju Takase,175,90,155,0,70,16,0
Royce Gracie,150,900,160,0,0,27,0
Ken Shamrock,450,475,0,0,50,85,25
Elves Brener,225,0,50,0,70,8,0
Kaynan Kruschewsky,25,90,25,0,0,10,0
Darren Elkins,500,295,950,0,140,259,0
Lucas Martins,250,90,0,0,95,17,0
Joachim Hansen,325,345,130,0,165,59,0
Masakazu Imanari,25,180,75,0,95,0,0
Jacare Souza,575,925,370,0,75,182,175
Francis Carmont,25,180,290,0,70,86,0
Blagoy Ivanov,0,0,315,0,50,11,25
Marcos Rogerio de Lima,625,305,290,0,0,182,0
Jeff Cox,0,50,0,0,0,0,0
Mike Swick,650,205,235,75,0,61,25
Marcus Davis,350,385,105,0,95,95,0
Charles Oliveira,525,1630,265,0,25,198,225
Nik Lentz,325,205,685,0,165,271,0
Lukasz Brzeski,75,115,105,0,25,117,0
Valter Walker,0,360,25,0,0,6,0
Anthony Smith,675,590,205,0,70,108,175
Hector Lombard,275,0,180,0,50,101,0
James Thompson,600,25,0,0,25,136,0
Paulo Cesar Silva,100,140,0,0,0,0,0
Askar Askarov,0,0,265,0,0,47,0
Tim Elliott,0,395,710,0,0,228,25
Luke Rockhold,600,540,185,0,0,259,275
Chris Weidman,575,270,425,0,0,161,200
Karolina Kowalkiewicz,50,140,630,0,140,338,25
Silvana Gomez Juarez,100,50,25,0,0,13,0
Takanori Gomi,1000,420,240,0,165,236,0
Marcus Aurelio,100,180,260,0,100,41,0
Mark Hunt,1125,175,130,0,140,282,150
Dan Bobish,75,115,0,0,0,17,0
Bogdan Grad,150,0,25,0,70,25,0
Michael Aswell Jr.,100,0,25,0,25,74,0
Bruno Silva,775,230,150,0,0,130,0
Andrew Sanchez,200,0,345,0,0,73,0
Chad Mendes,700,90,505,0,0,162,125
Clay Guida,250,650,845,0,405,227,75
Sean Sherk,50,90,530,0,70,133,100
Nick Diaz,1025,540,285,0,95,781,225
Michael Chandler,250,25,50,0,0,27,75
Yves Jabouin,100,50,240,0,235,89,0
Walel Watson,100,25,25,0,25,23,0
Sage Northcutt,200,140,240,0,0,129,0
Francisco Trevino,25,0,105,0,0,33,0
Nate Marquardt,825,270,470,0,50,293,100
Crafton Wallace,100,50,0,0,0,15,0
Frank Camacho,175,25,50,0,70,113,0
Nick Hein,25,25,345,0,25,31,0
Josh LaBerge,0,0,0,0,0,4,0
Anthony Leone,0,25,0,0,0,0,0
Alexander Gustafsson,575,255,265,0,25,230,175
James Te Huna,350,75,160,0,0,93,25
Fabio Maldonado,225,0,260,0,70,302,25
Joey Beltran,225,0,180,0,25,68,0
Wilson Reis,50,205,450,0,25,23,25
Yuta Sasaki,25,435,25,0,0,32,0
Michael Chiesa,0,845,505,0,0,132,50
Diego Sanchez,675,180,1000,0,235,373,25
Dooho Choi,550,0,25,0,0,79,25
Thiago Tavares,225,450,370,0,0,66,0
Shane Burgos,250,90,265,75,70,190,0
Cub Swanson,775,330,850,0,120,453,100
Trevin Giles,375,75,185,0,140,188,0
Bevon Lewis,250,0,105,0,0,80,0
Brady Hiestand,100,90,80,0,25,4,0
Garrett Armfield,100,50,80,0,25,101,0
Marcio Cruz,125,90,0,0,25,47,0
Keigo Kunihara,0,25,0,0,0,0,0
Kajan Johnson,125,25,160,0,95,82,0
Stevie Ray,250,0,185,150,95,142,0
Abel Trujillo,300,140,130,0,0,99,0
Jamie Varner,450,215,25,0,165,155,100
Joanne Wood,100,215,370,0,235,433,0
Valerie Letourneau,25,0,185,0,95,73,25
Maryna Moroz,0,205,340,0,95,64,0
,125,0,0,0,0,0,450
Ralph Gracie,25,0,80,0,0,0,0
Cody Durden,150,190,345,0,0,65,0
Matt Schnell,125,345,160,0,140,84,0
Amanda Nunes,850,295,400,0,70,488,300
Shayna Baszler,75,0,50,0,0,0,0
Roan Carneiro,150,140,105,0,95,38,0
Mark Munoz,675,50,320,0,95,189,100
Ciryl Gane,400,205,265,0,70,518,175
Junior Dos Santos,1175,0,425,0,0,534,300
Melquizael Costa,125,205,240,0,0,128,0
Julian Erosa,450,360,130,0,140,104,0
Mike Brown,275,205,345,0,25,120,100
Urijah Faber,375,1080,575,0,0,348,375
Max Holloway,1025,205,820,0,120,1411,425
Pat Schilling,0,25,25,0,0,0,0
Karol Rosa,0,0,500,75,140,273,0
Yana Santos,75,0,585,0,25,250,25
Israel Adesanya,550,25,610,0,70,343,350
Alex Pereira,825,0,105,0,70,239,200
Devin Clark,175,100,610,0,0,174,25
Josh Stansbury,25,0,25,75,0,14,0
Royston Wee,25,0,80,0,70,0,0
Yao Zhikui,25,0,25,0,95,9,0
Petr Yan,400,0,665,0,50,405,175
Jimmie Rivera,125,0,475,0,70,132,25
Alessandro Costa,250,0,25,0,70,79,0
Kevin Borjas,25,0,210,0,0,63,0
Alexandr Romanov,125,295,160,25,70,174,0
Juan Espino,0,180,0,0,25,28,0
Oskar Piechota,125,50,80,0,0,52,0
Jonathan Wilson,125,0,50,0,0,4,0
Henry Cejudo,425,0,395,0,190,217,175
Mirko Filipovic,2050,295,290,0,25,340,25
Igor Vovchanchyn,875,230,555,0,0,337,0
Nate Diaz,425,1105,390,25,120,605,200
Diego Ferreira,600,180,290,0,25,266,0
Kyle Nelson,275,25,265,0,0,57,0
Ryan Couture,125,180,50,75,140,120,0
Conor Heun,25,0,80,0,25,14,0
Christian Rodriguez,0,115,370,0,95,142,0
Joshua Weems,25,25,0,0,0,12,0
Evan Dunham,200,140,450,0,235,502,0
Shamar Bailey,25,0,130,0,0,14,0
Andrei Arlovski,1375,255,870,0,260,483,225
Vladimir Matyushenko,400,25,345,0,70,115,25
Yushin Okami,475,25,715,25,140,188,50
